epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1118,1.68418,1.10132,1.27262,0.76888,0.72111,0.78746,0.42304,1.70238,1.03025,1.29903,0.000302457,0.000302457,0.000302457
2,132.03,1.72348,1.1623,1.30569,0.6957,0.69732,0.74593,0.38909,1.74787,1.10064,1.35006,0.000585477,0.000585477,0.000585477
3,203.87,1.7594,1.23245,1.32471,0.69338,0.64406,0.7191,0.36308,1.76802,1.13938,1.35295,0.000848499,0.000848499,0.000848499
4,290.048,1.74886,1.2306,1.32208,0.67567,0.69567,0.72636,0.36142,1.78263,1.18231,1.37926,0.000819009,0.000819009,0.000819009
5,368.632,1.75563,1.21519,1.32698,0.61761,0.66688,0.70848,0.36105,1.77738,1.18504,1.3683,0.000789012,0.000789012,0.000789012
6,429.567,1.74042,1.18385,1.3161,0.70671,0.68682,0.76557,0.37813,1.74239,1.07788,1.35183,0.000759015,0.000759015,0.000759015
7,489.722,1.72318,1.16601,1.30718,0.69813,0.71592,0.7626,0.39811,1.74657,1.09662,1.33748,0.000729018,0.000729018,0.000729018
8,556.598,1.72351,1.13082,1.30267,0.73497,0.62665,0.74685,0.3909,1.75061,1.17417,1.34258,0.000699021,0.000699021,0.000699021
9,637.574,1.69922,1.12196,1.28076,0.73749,0.72455,0.77742,0.41099,1.71541,1.04344,1.33272,0.000669024,0.000669024,0.000669024
10,725.789,1.69739,1.10593,1.27998,0.74619,0.71889,0.79352,0.4232,1.68896,1.00217,1.31664,0.000639027,0.000639027,0.000639027
11,811.645,1.725,1.1128,1.30916,0.81712,0.6862,0.81021,0.42676,1.6868,0.98566,1.30611,0.00060903,0.00060903,0.00060903
12,878.566,1.6985,1.08299,1.29935,0.81026,0.74203,0.82027,0.42811,1.69685,0.98556,1.32425,0.000579033,0.000579033,0.000579033
13,939.131,1.69726,1.07619,1.28658,0.77691,0.77375,0.83327,0.4381,1.69167,0.94607,1.30857,0.000549036,0.000549036,0.000549036
14,1016.28,1.68349,1.06248,1.27659,0.8073,0.73823,0.83827,0.44703,1.69241,0.96565,1.31787,0.000519039,0.000519039,0.000519039
15,1099.18,1.67644,1.04042,1.27789,0.79926,0.75205,0.83476,0.45477,1.67141,0.95447,1.29827,0.000489042,0.000489042,0.000489042
16,1182.4,1.66134,1.02201,1.2655,0.7753,0.78986,0.84462,0.45768,1.67637,0.92167,1.29637,0.000459045,0.000459045,0.000459045
17,1265.84,1.66502,1.01471,1.27095,0.77413,0.76995,0.83127,0.45677,1.65428,0.92294,1.29876,0.000429048,0.000429048,0.000429048
18,1349.38,1.65347,1.00076,1.26254,0.78414,0.80385,0.84486,0.46539,1.65218,0.94471,1.28618,0.000399051,0.000399051,0.000399051
19,1431.87,1.63579,0.97252,1.24843,0.76696,0.79674,0.82792,0.46774,1.65734,0.93602,1.28842,0.000369054,0.000369054,0.000369054
20,1509.57,1.62991,0.96371,1.24252,0.83103,0.76001,0.85436,0.47397,1.6319,0.88815,1.27555,0.000339057,0.000339057,0.000339057
21,1610.24,1.6528,0.91419,1.27394,0.78869,0.76485,0.83059,0.45548,1.66347,0.89414,1.2964,0.00030906,0.00030906,0.00030906
22,1692.78,1.63569,0.87349,1.27116,0.79995,0.82058,0.85537,0.4676,1.66868,0.88065,1.30285,0.000279063,0.000279063,0.000279063
23,1770.57,1.61404,0.86568,1.25859,0.84543,0.77122,0.85633,0.46735,1.64859,0.86819,1.29359,0.000249066,0.000249066,0.000249066
24,1850.95,1.59898,0.84339,1.2495,0.81156,0.81094,0.85775,0.47646,1.62821,0.85951,1.28943,0.000219069,0.000219069,0.000219069
25,1932,1.60279,0.8288,1.25548,0.80035,0.79967,0.84342,0.47973,1.60697,0.85698,1.26329,0.000189072,0.000189072,0.000189072
26,2011.92,1.5832,0.81943,1.24552,0.79351,0.79345,0.8524,0.47848,1.59487,0.861,1.26423,0.000159075,0.000159075,0.000159075
27,2092.59,1.57609,0.80555,1.23189,0.75608,0.81538,0.85083,0.48398,1.61516,0.84989,1.27331,0.000129078,0.000129078,0.000129078
28,2172.46,1.55723,0.77931,1.22612,0.81315,0.81293,0.86056,0.48513,1.60144,0.82911,1.26444,9.9081e-05,9.9081e-05,9.9081e-05
29,2239.55,1.53838,0.77388,1.21452,0.76609,0.8394,0.8619,0.48982,1.60354,0.81591,1.26611,6.9084e-05,6.9084e-05,6.9084e-05
30,2298.78,1.52398,0.76753,1.21344,0.8168,0.77127,0.85483,0.48543,1.60297,0.82435,1.26544,3.9087e-05,3.9087e-05,3.9087e-05
