epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,102.467,1.71853,1.06821,0.00795,0.76921,0.74446,0.81821,0.44284,1.73002,0.97731,0.01262,0.000302457,0.000302457,0.000302457
2,184.96,1.73861,1.08628,0.00821,0.77944,0.71269,0.78169,0.40636,1.77189,1.05417,0.01288,0.000575487,0.000575487,0.000575487
3,264.89,1.76263,1.15709,0.00826,0.734,0.59362,0.73683,0.3801,1.80058,1.12729,0.01326,0.00081852,0.00081852,0.00081852
4,345.036,1.7791,1.15055,0.00837,0.73666,0.6482,0.74734,0.41268,1.78831,1.06441,0.01326,0.000774013,0.000774013,0.000774013
5,425.532,1.78565,1.13596,0.00849,0.71078,0.71471,0.78933,0.42175,1.7785,1.04456,0.01318,0.000729018,0.000729018,0.000729018
6,505.566,1.76596,1.14009,0.00837,0.78434,0.71169,0.79906,0.42901,1.76502,0.99309,0.01271,0.000684022,0.000684022,0.000684022
7,586.033,1.74304,1.11111,0.00822,0.79161,0.6952,0.78791,0.41408,1.77414,0.99824,0.0128,0.000639027,0.000639027,0.000639027
8,665.894,1.74313,1.10122,0.00822,0.72008,0.73212,0.78637,0.41059,1.76695,1.00505,0.01291,0.000594031,0.000594031,0.000594031
9,749.047,1.72697,1.07935,0.0079,0.78551,0.71903,0.79703,0.41355,1.77056,0.96893,0.01286,0.000549036,0.000549036,0.000549036
10,832.067,1.72141,1.04945,0.00796,0.78414,0.7522,0.82109,0.44461,1.72532,0.96248,0.01232,0.00050404,0.00050404,0.00050404
11,928.905,1.7208,0.91369,0.00911,0.79053,0.7329,0.80878,0.44238,1.73714,0.97228,0.01242,0.000459045,0.000459045,0.000459045
12,1009.43,1.69981,0.90245,0.00897,0.76858,0.74757,0.81597,0.44964,1.72295,0.96277,0.01236,0.000414049,0.000414049,0.000414049
13,1090.71,1.69971,0.86522,0.0087,0.7644,0.77678,0.82701,0.44248,1.76962,0.97413,0.01242,0.000369054,0.000369054,0.000369054
14,1171.88,1.67599,0.84823,0.00862,0.80456,0.75887,0.82624,0.45725,1.72123,0.93886,0.01212,0.000324058,0.000324058,0.000324058
15,1252.63,1.67529,0.8395,0.00857,0.77558,0.7848,0.83829,0.46434,1.71959,0.93148,0.01209,0.000279063,0.000279063,0.000279063
16,1333.16,1.66221,0.81535,0.00851,0.79789,0.78026,0.8305,0.47671,1.70992,0.8799,0.01189,0.000234068,0.000234068,0.000234068
17,1414.35,1.65103,0.79693,0.00835,0.82463,0.78258,0.84164,0.4828,1.69518,0.86208,0.01189,0.000189072,0.000189072,0.000189072
18,1495.68,1.63153,0.78029,0.00825,0.82716,0.76099,0.8455,0.48753,1.68189,0.85341,0.01167,0.000144077,0.000144077,0.000144077
19,1576.59,1.62506,0.77852,0.00815,0.82815,0.76588,0.84288,0.48828,1.69107,0.85127,0.01172,9.9081e-05,9.9081e-05,9.9081e-05
20,1657.23,1.62583,0.78656,0.00811,0.84497,0.76471,0.85138,0.49066,1.66653,0.85969,0.01154,5.40855e-05,5.40855e-05,5.40855e-05
